Paper Title,Multimodal Information Extraction,Multimodal Information Extraction (score),Multimodal Information Extraction (sentence),Semantic Alignment with BIM/IFC,Semantic Alignment with BIM/IFC (score),Semantic Alignment with BIM/IFC (sentence),Formalisation of Regulatory Text,Formalisation of Regulatory Text (score),Formalisation of Regulatory Text (sentence),Rule Representation and Reasoning,Rule Representation and Reasoning (score),Rule Representation and Reasoning (sentence),Integration of Ontologies and Knowledge Graphs,Integration of Ontologies and Knowledge Graphs (score),Integration of Ontologies and Knowledge Graphs (sentence),Model–Driven Compliance Intelligence,Model–Driven Compliance Intelligence (score),Model–Driven Compliance Intelligence (sentence),Explainability and Trust in AI Systems,Explainability and Trust in AI Systems (score),Explainability and Trust in AI Systems (sentence),Human-in-the-Loop Approaches,Human-in-the-Loop Approaches (score),Human-in-the-Loop Approaches (sentence),Evaluation and Benchmarking,Evaluation and Benchmarking (score),Evaluation and Benchmarking (sentence),Tool Development and Real-World Application,Tool Development and Real-World Application (score),Tool Development and Real-World Application (sentence)
D. Lehoczky et al. 2022,partially addressed,0.603,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.65,"arc in this domain refers to checking the compliance of building information modeling (bim) models to a set of predefined, computer-based rules; it is typically applied in regulation compliance checking (el-diraby, 2019)",directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.723,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.637,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.554,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.586,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.54,"keywords: bim; arc; bmc; automated rule checking; automation; automated design/decision aids; trust; socio-technical reference: dniel lehoczky, dean garcia, peter nrkjr gade (2022)",partially addressed,0.608,dk summary: automated solutions to building compliance checking has been slow in its implementation in the danish construction industry,partially addressed,0.636,automated building code compliance checkingwhere is it at
E. Al Nama and A. Alalawi 2023,partially addressed,0.646,"modern semantic and information extraction and transformation rules-based acc approaches, capable of handling complicated requirements, are rigid when used with various regulatory documents",partially addressed,0.668,"bims are represented by ifc, a comprehensive, extensive, and complicated open standard data model",directly addressed,0.722,"la rosa, a semantic approach for automated rule compliance checking in construction industry, ieee access, doi: pp",partially addressed,0.648,"to communicate specification semantics, the model's code ontologies are employed in compliance verification",partially addressed,0.646,"to communicate specification semantics, the model's code ontologies are employed in compliance verification",partially addressed,0.528,"modern semantic and information extraction and transformation rules-based acc approaches, capable of handling complicated requirements, are rigid when used with various regulatory documents",partially addressed,0.591,"la rosa, a semantic approach for automated rule compliance checking in construction industry, ieee access, doi: pp",partially addressed,0.545,"rezgui, towards the adoption of automated regulatory compliance checking in the built environment, autom doi: constr, 10",partially addressed,0.632,"rezgui, towards the adoption of automated regulatory compliance checking in the built environment, autom doi: constr, 10",directly addressed,0.734,"rezgui, towards the adoption of automated regulatory compliance checking in the built environment, autom doi: constr, 10"
E. Makisha 2023,partially addressed,0.678,verication for compliance with regulatory documents automated assessment of compliance with the requirements of regulatory documents is one of the most difcult types of checks since it requires translation into a machine- readable format for provisions written in natural language,directly addressed,0.765,simplied schema queries for supporting bim-based rule-checking applications,directly addressed,0.702,ontology-based semantic modeling of regulation constraint for automated construction quality compliance checking,directly addressed,0.715,a detailed justication of the ruleml application to translate regulatory documents into machine-readable rules was given in the study by [25],partially addressed,0.632,ontology-based semantic modeling of regulation constraint for automated construction quality compliance checking,partially addressed,0.611,a deep neural network-based method for deep information extraction using transfer learning strategies to support automated compliance checking,partially addressed,0.663,development of an object model for automated compliance checking,partially addressed,0.54,verication for compliance with regulatory documents automated assessment of compliance with the requirements of regulatory documents is one of the most difcult types of checks since it requires translation into a machine- readable format for provisions written in natural language,partially addressed,0.692,the promise of automated compliance checking developments in the built environment,directly addressed,0.768,the promise of automated compliance checking developments in the built environment
E. Nuyts et al. 2023,partially addressed,0.592,"zhang, semantic rule-checking for regulation compliance checking: an overview of strategies and approaches, in: 32nd cib w78 conference, eindhoven, netherlands, 2015, pp",directly addressed,0.71,"this process utilizes the bim data directly to evaluate compliance, ensuring a more accurate checking procedure",directly addressed,0.71,"zhang, semantic rule-checking for regulation compliance checking: an overview of strategies and approaches, in: 32nd cib w78 conference, eindhoven, netherlands, 2015, pp",directly addressed,0.709,"zhang, semantic rule-checking for regulation compliance checking: an overview of strategies and approaches, in: 32nd cib w78 conference, eindhoven, netherlands, 2015, pp",partially addressed,0.621,"zhang, semantic rule-checking for regulation compliance checking: an overview of strategies and approaches, in: 32nd cib w78 conference, eindhoven, netherlands, 2015, pp",partially addressed,0.52,"zhang, semantic rule-checking for regulation compliance checking: an overview of strategies and approaches, in: 32nd cib w78 conference, eindhoven, netherlands, 2015, pp",partially addressed,0.67,"zhang, semantic rule-checking for regulation compliance checking: an overview of strategies and approaches, in: 32nd cib w78 conference, eindhoven, netherlands, 2015, pp",partially addressed,0.54,one way to overcome these challenges is by implementing automated compliance checking (acc),directly addressed,0.718,one way to overcome these challenges is by implementing automated compliance checking (acc),directly addressed,0.848,one way to overcome these challenges is by implementing automated compliance checking (acc)
E. Nuyts et al. 2024,partially addressed,0.617,"lu, integrating nlp and context-free gram- mar for complex rule interpretation towards automated compliance checking, comput",partially addressed,0.686,"discussion several approaches for compliance checking were checked, which can be grouped into three parts:  methods operating on ifc data: solibri model checker (a propri- etary tool), and the upcoming ids standard  general data standards and their accompanying schema definition languages: json schema and xsd  linked data approaches: owl, swrl, sparql, and shacl these approaches were tested against five flavors of rules (informa- tion availability, value, relational, mathematical, and conditional con- means straints), leading to the summary in fig",directly addressed,0.72,"conclusion this paper compares different approaches to capture requirements derived from building regulations as machine-readable constraints, for use in acc",directly addressed,0.708,"zhang, semantic rule-checking for regulation compliance checking: an overview of strategies and approaches, in: proceedings of the 32nd cib w78 conference, eindhoven, netherlands, 2015, pp",directly addressed,0.715,"linked data approaches such as the web ontology language (owl), the semantic web rule language (swrl), n3logic, the sparql protocol and rdf query language (sparql), and the shapes constraint language (shacl) can be used for compliance checking of construction data captured as rdf graphs",partially addressed,0.627,"lin, knowledge-informed semantic alignment and rule interpretation for automated compliance checking, autom",partially addressed,0.698,the compliance checking is based on both pre-defined and customizable rules within hard-coded boundaries using a graphical user interface,partially addressed,0.572,"while this paper focused on automating the compliance checking procedure, it is (for now) unimaginable to create a fully automated checking workflow, since not all parts of the regulation can be translated into computer-interpretable rules",directly addressed,0.73,"comparative analysis since there are dozens of compliance checking approaches, this article makes a comparative analysis between different approaches",directly addressed,0.756,"while this paper focused on automating the compliance checking procedure, it is (for now) unimaginable to create a fully automated checking workflow, since not all parts of the regulation can be translated into computer-interpretable rules"
F. Hassan and T. Lee 2022 ,partially addressed,0.613,a few studies also addressed the need of classifying the regulatory codes text to support automated compliance checking (acc),partially addressed,0.606,the ontology-based model also performed the same task of classifying the environmental regulatory text into compliance checking topics,partially addressed,0.651,the relevant requirements from codes are transformed into a set of in computer-readable rules required for computer-aided design and compliance verification,partially addressed,0.657,the relevant requirements from codes are transformed into a set of in computer-readable rules required for computer-aided design and compliance verification,partially addressed,0.664,the ontology-based model also performed the same task of classifying the environmental regulatory text into compliance checking topics,partially addressed,0.516,domain-specific hierarchical text classification for supporting automated environmental compliance checking,partially addressed,0.58,the relevant requirements from codes are transformed into a set of in computer-readable rules required for computer-aided design and compliance verification,partially addressed,0.529,a few studies also addressed the need of classifying the regulatory codes text to support automated compliance checking (acc),partially addressed,0.625,a few studies also addressed the need of classifying the regulatory codes text to support automated compliance checking (acc),partially addressed,0.695,a few studies also addressed the need of classifying the regulatory codes text to support automated compliance checking (acc)
F. Noardo et al. 2022,partially addressed,0.547,"analysis of the available data produced by practice, to assess their suitability for checking the compliance to regulations by an auto- matic tool, and description of the most problematic aspects; 4",directly addressed,0.712,"amor, simplified schema queries for supporting bim-based rule-checking applications, autom",partially addressed,0.633,"analysis of the available data produced by practice, to assess their suitability for checking the compliance to regulations by an auto- matic tool, and description of the most problematic aspects; 4",partially addressed,0.586,"analysis of the available data produced by practice, to assess their suitability for checking the compliance to regulations by an auto- matic tool, and description of the most problematic aspects; 4",partially addressed,0.519,"amor, simplified schema queries for supporting bim-based rule-checking applications, autom",not addressed,0.458,"thompson, automated plan review for building code compliance using bim, in: proceedings of 20th international workshop: intelligent computing in engineering (eg-ice 2013), vienna, austria, 2013, pp",partially addressed,0.591,"analysis of the available data produced by practice, to assess their suitability for checking the compliance to regulations by an auto- matic tool, and description of the most problematic aspects; 4",partially addressed,0.514,"analysis of the available data produced by practice, to assess their suitability for checking the compliance to regulations by an auto- matic tool, and description of the most problematic aspects; 4",partially addressed,0.649,"analysis of the available data produced by practice, to assess their suitability for checking the compliance to regulations by an auto- matic tool, and description of the most problematic aspects; 4",partially addressed,0.679,"while the case study is specific in location, regulations and input models, the type of issues encountered are a generally applicable example for automated code compliance checking"
F. Yang and J. Zhang 2024,partially addressed,0.638,"el-gohary, semantic nlp-based information extraction from construction regulatory documents for automated compliance checking, j",partially addressed,0.669,its capabilities allow developers to effectively model complex regulatory requirements and automate the process of compliance checking across various domains,directly addressed,0.732,"last but not least, this research has produced a valuable dataset that codifies building regulations into a logic programming language, spe- cifically addressing the quantitative requirements of chapter 9 in the ibc 2015 [44]",directly addressed,0.752,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",partially addressed,0.69,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",partially addressed,0.655,"el-gohary, a deep neural network-based method for deep information extraction using transfer learning strategies to support automated compliance checking, autom",partially addressed,0.659,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",partially addressed,0.575,"dimyadi, the promise of automated compliance checking, develop",directly addressed,0.721,"this dataset enables more precise and automated compliance verification, supporting the creation of more advanced compliance checking systems",directly addressed,0.782,"in the acc literature, this contribution highlights the importance of data-driven approaches in enhancing the accuracy and reliability of compliance checking, paving the way for more sophisticated and automated systems"
G. Marco et al. 2024,partially addressed,0.552,a design for safety (dfs) semantic framework development based on natural language processing (nlp) for automated compliance checking using bim: the case of china,partially addressed,0.669,"[2], who discussed the implementation of new bim standards to improve interoperability among stakeholders, emphasizing the need for a cultural shift in compliance-checking methodologies",directly addressed,0.722,a semantic approach for automated rule compliance checking in construction industry,partially addressed,0.66,a semantic approach for automated rule compliance checking in construction industry,partially addressed,0.611,a semantic approach for automated rule compliance checking in construction industry,partially addressed,0.596,a design for safety (dfs) semantic framework development based on natural language processing (nlp) for automated compliance checking using bim: the case of china,partially addressed,0.627,towards the adoption of automated regulatory compliance checking in the built environment,partially addressed,0.542,"this is in line with the automated compliance checks discussed by amor and dimyadi [26], who highlighted the promise of automated compliance checking in enhancing efficiency and effectiveness in local compliance checks",directly addressed,0.704,"this is in line with the automated compliance checks discussed by amor and dimyadi [26], who highlighted the promise of automated compliance checking in enhancing efficiency and effectiveness in local compliance checks",directly addressed,0.753,"automated compliance checking acc relies on shared rules, valid among stakeholders [13]"
G. Recski et al. 2024,partially addressed,0.597,"keywords rule corpus  rule extraction  annotation,  rule-based methods  deontic logic  automated compliance checking * gbor recski gabor",partially addressed,0.583,automated information transformation for automated regulatory compliance checking in construction,directly addressed,0.731,"in order to allow automated compliance checking of some aspects of a building submission, we consider methods for automatically convert- ing the rules written as text in these documents into a formal representation to allow automated reasoning on these rules",partially addressed,0.66,a semantic approach for automated rule compliance checking in construction industry,partially addressed,0.611,a semantic approach for automated rule compliance checking in construction industry,partially addressed,0.599,neural semantic parsing of building regula- tions for compliance checking,partially addressed,0.663,development of an object model for automated compliance checking,partially addressed,0.569,the integration of this pipeline into a unified framework for automated compliance checking (acc) is described in zhang and el-gohary (2017),directly addressed,0.711,the integration of this pipeline into a unified framework for automated compliance checking (acc) is described in zhang and el-gohary (2017),directly addressed,0.828,the integration of this pipeline into a unified framework for automated compliance checking (acc) is described in zhang and el-gohary (2017)
H. Gao et al. 2022,partially addressed,0.639,"in future research, natural language processing can be studied further to manage the rule base to address more complex compliance checking tasks",partially addressed,0.664,the main challenge for existing bim automation applications is the semantic mismatch between the ifc model and the specific aec domain,partially addressed,0.657,"in future research, natural language processing can be studied further to manage the rule base to address more complex compliance checking tasks",partially addressed,0.658,"in future research, natural language processing can be studied further to manage the rule base to address more complex compliance checking tasks",partially addressed,0.631,"to address this gap, this study focuses on how we can develop a semantic enrichment approach to support automated compliance checking applications in practice",partially addressed,0.59,"to address this gap, this study focuses on how we can develop a semantic enrichment approach to support automated compliance checking applications in practice",partially addressed,0.663,development of an object model for automated compliance checking,partially addressed,0.558,"to address this gap, this study focuses on how we can develop a semantic enrichment approach to support automated compliance checking applications in practice",partially addressed,0.689,"to address this gap, this study focuses on how we can develop a semantic enrichment approach to support automated compliance checking applications in practice",directly addressed,0.766,development of an object model for automated compliance checking
H. Hettiarachchi et al. 2025,partially addressed,0.67,"open data descriptor code-accord: a corpus of building regulatory data for rule generation towards automatic compliance checking 1,8 , amna dridi2,8, mohamed medhat gaber2, pouyan parsafard2, hansi hettiarachchi nicoleta bocaneala2, katja breitenfelder3, gonal costa4, maria hedblom5, mihaela juganaru-mathieu6, thamer mecharnia 7, sumee park3, he tan5, abdel-rahman h",partially addressed,0.633,"the advancement of more semantically rich building information models (bims) has further encouraged this tendency, making automated compliance checking (acc) achievable3",directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.73,"open data descriptor code-accord: a corpus of building regulatory data for rule generation towards automatic compliance checking 1,8 , amna dridi2,8, mohamed medhat gaber2, pouyan parsafard2, hansi hettiarachchi nicoleta bocaneala2, katja breitenfelder3, gonal costa4, maria hedblom5, mihaela juganaru-mathieu6, thamer mecharnia 7, sumee park3, he tan5, abdel-rahman h",partially addressed,0.656,knowledge-informed semantic alignment and rule interpretation for automated compliance checking,partially addressed,0.62,"since this work targets the automation of compliance checking using machine learning concepts, we believe it is important to involve experts from both areas in the annotation process",partially addressed,0.663,development of an object model for automated compliance checking,partially addressed,0.641,"since this work targets the automation of compliance checking using machine learning concepts, we believe it is important to involve experts from both areas in the annotation process",partially addressed,0.691,"although compliance checks have traditionally been conducted manually, there is now a growing motivation to automate this process due to the significant time and human resources demanded by the manual approach1,2",directly addressed,0.766,development of an object model for automated compliance checking
